Reaction SMILES,Reaction_Subclass
Fc1ccc(Br)c(Cl)c1.C#Cc1cccc([N+](=O)[O-])c1>O=[N+]([O-])c1cccc(-c2cn(-c3ccc(F)cc3Cl)nn2)c1,2Y
Brc1ccc(Oc2ccccc2)cc1.C#Cc1ccc(C(=O)OC)cc1>COC(=O)c1ccc(-c2cn(-c3ccc(Oc4ccccc4)cc3)nn2)cc1,2Y
CC(C)(C)OC(=O)N1CCCC(Br)C1.C#CCc1ccccc1>CC(C)(C)OC(=O)N1CCCC(n2cc(Cc3ccccc3)nn2)C1,3N
N#CCCCBr.C#Cc1ccc(C(=O)O)cc1>N#CCCCn1cc(-c2ccc(C(=O)O)cc2)nn1,3Y
Brc1ccc2c(c1)OCO2.C#Cc1ccsc1>c1cc(-c2cn(-c3ccc4c(c3)OCO4)nn2)cs1,2N
N#CCCCBr.C#CCC(=O)OC>COC(=O)Cc1cn(CCCC#N)nn1,3Y
COc1ccc(Br)cc1.C#CC(=C)C>C=C(C)c1cn(-c2ccc(OC)cc2)nn1,2N
COc1ccc(Br)cc1.C#Cc1ccc(C(=O)OC)cc1>COC(=O)c1ccc(-c2cn(-c3ccc(OC)cc3)nn2)cc1,2Y
FC(F)(F)c1ccc(Br)cc1.C#CC(=C)C>C=C(C)c1cn(-c2ccc(C(F)(F)F)cc2)nn1,2N
FC(F)(F)c1ccccc1CBr.C#Cc1ccccc1>FC(F)(F)c1ccccc1Cn1cc(-c2ccccc2)nn1,3Y
OCCCBr.C#CC(C)=O>CC(=O)c1cn(CCCO)nn1,3N
OCCCBr.C#Cc1ccc(F)cc1>OCCCn1cc(-c2ccc(F)cc2)nn1,3Y
N#CCCCBr.C#CC(C)=O>CC(=O)c1cn(CCCC#N)nn1,3N
Nc1nc(N)c2ccc(Br)cc2n1.C#Cc1cccs1>Nc1nc(N)c2ccc(-n3cc(-c4cccs4)nn3)cc2n1,2N
COc1ccc(Br)cc1.C#CCOC>COCc1cn(-c2ccc(OC)cc2)nn1,2N
Brc1nc2ccccc2s1.C#Cc1ccc(N)cc1>Nc1ccc(-c2cn(-c3nc4ccccc4s3)nn2)cc1,2Y
OCCCBr.C#CC(C)(O)c1ccccc1>CC(O)(c1ccccc1)c1cn(CCCO)nn1,3Y
NC(=O)c1ccc(Br)cc1.C#Cc1cccc(N)c1>NC(=O)c1ccc(-n2cc(-c3cccc(N)c3)nn2)cc1,2Y
COC(=O)c1cccc(Br)n1.C#Cc1cccs1>COC(=O)c1cccc(-n2cc(-c3cccs3)nn2)n1,2N
Brc1ccc2c(c1)OCO2.C#CCC(=O)OC>COC(=O)Cc1cn(-c2ccc3c(c2)OCO3)nn1,2Y
Clc1ccc2cc(Br)ccc2n1.C#Cc1ccncc1>Clc1ccc2cc(-n3cc(-c4ccncc4)nn3)ccc2n1,2Y
COc1ccc(Br)cc1.C#CCCO>COc1ccc(-n2cc(CCO)nn2)cc1,2Y
Clc1ccc2cc(Br)ccc2n1.C#CCCCC(=O)O>O=C(O)CCCc1cn(-c2ccc3nc(Cl)ccc3c2)nn1,2Y
CC(C)(C)c1ccc(CBr)cc1.C#CC(=C)C>C=C(C)c1cn(Cc2ccc(C(C)(C)C)cc2)nn1,3Y
COC(=O)CBr.C#CCCCC(=O)O>COC(=O)Cn1cc(CCCC(=O)O)nn1,3N
FC(F)(F)c1cc(CBr)cc(C(F)(F)F)c1.C#Cc1ccc(F)cc1>Fc1ccc(-c2cn(Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)nn2)cc1,3Y
Brc1ccc(Oc2ccccc2)cc1.C#Cc1cccc(N)c1>Nc1cccc(-c2cn(-c3ccc(Oc4ccccc4)cc3)nn2)c1,2Y
CCC(Br)CC.C#Cc1ccc([N+](=O)[O-])cc1>CCC(CC)n1cc(-c2ccc([N+](=O)[O-])cc2)nn1,3Y
Cc1ccnc(Br)c1.C#Cc1ccc(OC)cc1>COc1ccc(-c2cn(-c3cc(C)ccn3)nn2)cc1,2N
COC(=O)c1ccc(Br)cc1.C#Cc1ccc(C(=O)OC)cc1>COC(=O)c1ccc(-c2cn(-c3ccc(C(=O)OC)cc3)nn2)cc1,2Y
Brc1ccc(Oc2ccccc2)cc1.C#Cc1cccs1>c1ccc(Oc2ccc(-n3cc(-c4cccs4)nn3)cc2)cc1,2Y
COc1ccc(Br)c(OC)c1.C#Cc1ccccc1Cl>COc1ccc(-n2cc(-c3ccccc3Cl)nn2)c(OC)c1,2Y
